"Level","Campaign","Ad Group","Asset Type","Asset Text","Structured Snippet Header","Structured Snippet Values","Description Line 1","Description Line 2","Final URL","Privacy Policy URL","Phone","Schedule","Recommended Form Fields","Status","Notes"
"Ad group","Search | Warehouse Construction | Dubai","Industrial Warehouse","Sitelink","Industrial Warehouses","","","Review scope and project needs","Request a tailored quotation","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Tailored sitelink for this ad group. Landing-page alignment: use /warehouse-construction until a materially distinct industrial-warehouse proposition is verified."
"Ad group","Search | Warehouse Construction | Dubai","Industrial Warehouse","Sitelink","Authority Approvals","","","See approval support routes","Plan documents and follow-up","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Landing-page alignment: use /warehouse-construction until a materially distinct industrial-warehouse proposition is verified."
"Ad group","Search | Warehouse Construction | Dubai","Industrial Warehouse","Sitelink","Project Scope Library","","","Review project scope examples","Prepare a clearer enquiry","https://emitronix.ae/projects","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Landing-page alignment: use /warehouse-construction until a materially distinct industrial-warehouse proposition is verified."
"Ad group","Search | Warehouse Construction | Dubai","Industrial Warehouse","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Landing-page alignment: use /warehouse-construction until a materially distinct industrial-warehouse proposition is verified."
"Ad group","Search | Warehouse Construction | Dubai","Industrial Warehouse","Structured snippet","","Service catalog","Industrial Builds; Logistics Warehouses; Civil Works; MEP Coordination","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview. Landing-page alignment: use /warehouse-construction until a materially distinct industrial-warehouse proposition is verified."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Expansion","Sitelink","Warehouse Expansion","","","Review scope and project needs","Request a tailored quotation","https://emitronix.ae/warehouse/warehouse-expansion","","","","","Paused - draft only","Tailored sitelink for this ad group."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Expansion","Sitelink","Authority Approvals","","","See approval support routes","Plan documents and follow-up","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Expansion","Sitelink","Project Scope Library","","","Review project scope examples","Prepare a clearer enquiry","https://emitronix.ae/projects","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Expansion","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Expansion","Structured snippet","","Service catalog","Extensions; Structural Works; MEP Changes; Permit Support","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Modification","Sitelink","Warehouse Modification","","","Review scope and project needs","Request a tailored quotation","https://emitronix.ae/warehouse/warehouse-expansion","","","","","Paused - draft only","Tailored sitelink for this ad group. Launch prerequisite: rebuild /warehouse/warehouse-expansion for modification and expansion message match before paid traffic."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Modification","Sitelink","Authority Approvals","","","See approval support routes","Plan documents and follow-up","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Launch prerequisite: rebuild /warehouse/warehouse-expansion for modification and expansion message match before paid traffic."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Modification","Sitelink","Project Scope Library","","","Review project scope examples","Prepare a clearer enquiry","https://emitronix.ae/projects","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Launch prerequisite: rebuild /warehouse/warehouse-expansion for modification and expansion message match before paid traffic."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Modification","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Launch prerequisite: rebuild /warehouse/warehouse-expansion for modification and expansion message match before paid traffic."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Modification","Structured snippet","","Service catalog","Modifications; Renovation; Fit-Out; Permit Support","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview. Launch prerequisite: rebuild /warehouse/warehouse-expansion for modification and expansion message match before paid traffic."
"Ad group","Search | Warehouse Construction | Dubai","Factory Construction","Sitelink","Factory Construction","","","Review scope and project needs","Request a tailored quotation","https://emitronix.ae/industrial-buildings","","","","","Paused - draft only","Tailored sitelink for this ad group. Landing-page alignment: use /industrial-buildings and improve the industrial/factory message before paid traffic."
"Ad group","Search | Warehouse Construction | Dubai","Factory Construction","Sitelink","Authority Approvals","","","See approval support routes","Plan documents and follow-up","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Landing-page alignment: use /industrial-buildings and improve the industrial/factory message before paid traffic."
"Ad group","Search | Warehouse Construction | Dubai","Factory Construction","Sitelink","Project Scope Library","","","Review project scope examples","Prepare a clearer enquiry","https://emitronix.ae/projects","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Landing-page alignment: use /industrial-buildings and improve the industrial/factory message before paid traffic."
"Ad group","Search | Warehouse Construction | Dubai","Factory Construction","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Landing-page alignment: use /industrial-buildings and improve the industrial/factory message before paid traffic."
"Ad group","Search | Warehouse Construction | Dubai","Factory Construction","Structured snippet","","Service catalog","Factory Builds; Modifications; Utility Works; Approval Support","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview. Landing-page alignment: use /industrial-buildings and improve the industrial/factory message before paid traffic."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Civil Works","Sitelink","Warehouse Civil Works","","","Review scope and project needs","Request a tailored quotation","https://emitronix.ae/warehouse/warehouse-mep","","","","","Paused - draft only","Tailored sitelink for this ad group. Launch prerequisite: rebuild /warehouse/warehouse-mep as the integrated civil and MEP paid page."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Civil Works","Sitelink","Authority Approvals","","","See approval support routes","Plan documents and follow-up","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Launch prerequisite: rebuild /warehouse/warehouse-mep as the integrated civil and MEP paid page."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Civil Works","Sitelink","Project Scope Library","","","Review project scope examples","Prepare a clearer enquiry","https://emitronix.ae/projects","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Launch prerequisite: rebuild /warehouse/warehouse-mep as the integrated civil and MEP paid page."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Civil Works","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Launch prerequisite: rebuild /warehouse/warehouse-mep as the integrated civil and MEP paid page."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Civil Works","Structured snippet","","Service catalog","Foundations; Concrete; Flooring; Drainage","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview. Launch prerequisite: rebuild /warehouse/warehouse-mep as the integrated civil and MEP paid page."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse MEP Works","Sitelink","Warehouse MEP Works","","","Review scope and project needs","Request a tailored quotation","https://emitronix.ae/warehouse/warehouse-mep","","","","","Paused - draft only","Tailored sitelink for this ad group. Launch prerequisite: rebuild /warehouse/warehouse-mep as the integrated civil and MEP paid page."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse MEP Works","Sitelink","Authority Approvals","","","See approval support routes","Plan documents and follow-up","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Launch prerequisite: rebuild /warehouse/warehouse-mep as the integrated civil and MEP paid page."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse MEP Works","Sitelink","Project Scope Library","","","Review project scope examples","Prepare a clearer enquiry","https://emitronix.ae/projects","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Launch prerequisite: rebuild /warehouse/warehouse-mep as the integrated civil and MEP paid page."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse MEP Works","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total. Launch prerequisite: rebuild /warehouse/warehouse-mep as the integrated civil and MEP paid page."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse MEP Works","Structured snippet","","Service catalog","Electrical; Mechanical; Plumbing; Fire Systems","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview. Launch prerequisite: rebuild /warehouse/warehouse-mep as the integrated civil and MEP paid page."
"Ad group","Search | Authority Approvals | Dubai","Dubai Municipality Approval","Sitelink","DM Approval","","","Review the approval route","Plan documents and follow-up","https://emitronix.ae/dubai-municipality-approval","","","","","Paused - draft only","Tailored sitelink for this ad group."
"Ad group","Search | Authority Approvals | Dubai","Dubai Municipality Approval","Sitelink","Approval Services","","","Review approval support routes","Confirm project dependencies","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","Dubai Municipality Approval","Sitelink","Warehouse Construction","","","Plan civil, MEP and approvals","Discuss your warehouse brief","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","Dubai Municipality Approval","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","Dubai Municipality Approval","Structured snippet","","Service catalog","Scope Review; Drawing Checks; Submissions; Comment Follow-Up","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview."
"Ad group","Search | Authority Approvals | Dubai","Dubai Civil Defence Approval","Sitelink","DCD Approval","","","Review the approval route","Plan documents and follow-up","https://emitronix.ae/dcd-approvals","","","","","Paused - draft only","Tailored sitelink for this ad group."
"Ad group","Search | Authority Approvals | Dubai","Dubai Civil Defence Approval","Sitelink","Approval Services","","","Review approval support routes","Confirm project dependencies","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","Dubai Civil Defence Approval","Sitelink","Warehouse Construction","","","Plan civil, MEP and approvals","Discuss your warehouse brief","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","Dubai Civil Defence Approval","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","Dubai Civil Defence Approval","Structured snippet","","Service catalog","Fire Drawings; DCD Comments; Inspections; Close-Out Records","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview."
"Ad group","Search | Authority Approvals | Dubai","Trakhees Approval","Sitelink","Trakhees Approval","","","Review the approval route","Plan documents and follow-up","https://emitronix.ae/trakhees-approvals","","","","","Paused - draft only","Tailored sitelink for this ad group."
"Ad group","Search | Authority Approvals | Dubai","Trakhees Approval","Sitelink","Approval Services","","","Review approval support routes","Confirm project dependencies","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","Trakhees Approval","Sitelink","Warehouse Construction","","","Plan civil, MEP and approvals","Discuss your warehouse brief","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","Trakhees Approval","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","Trakhees Approval","Structured snippet","","Service catalog","Route Review; NOC Planning; Submissions; Comment Follow-Up","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview."
"Ad group","Search | Authority Approvals | Dubai","JAFZA Approval","Sitelink","JAFZA Scope Pending","","","Do not attach before approval","Service role must be verified","https://emitronix.ae/warehouse/warehouse-authority-approvals","","","","","Hold - service scope and landing page approval required","Tailored sitelink for this ad group. LAUNCH HOLD: Placeholder URL only; no paid final URL is approved. Do not upload or activate until Emitronix verifies the authority-specific service scope and role, management/legal approve the wording, and the landing-page message is approved."
"Ad group","Search | Authority Approvals | Dubai","JAFZA Approval","Sitelink","Approval Services","","","Review approval support routes","Confirm project dependencies","https://emitronix.ae/approval","","","","","Hold - service scope and landing page approval required","Shared supporting sitelink; each ad group has four sitelinks in total. LAUNCH HOLD: Placeholder URL only; no paid final URL is approved. Do not upload or activate until Emitronix verifies the authority-specific service scope and role, management/legal approve the wording, and the landing-page message is approved."
"Ad group","Search | Authority Approvals | Dubai","JAFZA Approval","Sitelink","Warehouse Construction","","","Plan civil, MEP and approvals","Discuss your warehouse brief","https://emitronix.ae/warehouse-construction","","","","","Hold - service scope and landing page approval required","Shared supporting sitelink; each ad group has four sitelinks in total. LAUNCH HOLD: Placeholder URL only; no paid final URL is approved. Do not upload or activate until Emitronix verifies the authority-specific service scope and role, management/legal approve the wording, and the landing-page message is approved."
"Ad group","Search | Authority Approvals | Dubai","JAFZA Approval","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Hold - service scope and landing page approval required","Shared supporting sitelink; each ad group has four sitelinks in total. LAUNCH HOLD: Placeholder URL only; no paid final URL is approved. Do not upload or activate until Emitronix verifies the authority-specific service scope and role, management/legal approve the wording, and the landing-page message is approved."
"Ad group","Search | Authority Approvals | Dubai","JAFZA Approval","Structured snippet","","Service catalog","Service Scope Pending; Role Pending; Page Pending","","","","","","","","Hold - service scope and landing page approval required","Use Google Ads structured snippet header Service catalog; verify each value in preview. LAUNCH HOLD: Placeholder URL only; no paid final URL is approved. Do not upload or activate until Emitronix verifies the authority-specific service scope and role, management/legal approve the wording, and the landing-page message is approved."
"Ad group","Search | Authority Approvals | Dubai","Dubai South Approval","Sitelink","Dubai South Scope Pending","","","Do not attach before approval","Service role must be verified","https://emitronix.ae/warehouse/warehouse-authority-approvals","","","","","Hold - service scope and landing page approval required","Tailored sitelink for this ad group. LAUNCH HOLD: Placeholder URL only; no paid final URL is approved. Do not upload or activate until Emitronix verifies the authority-specific service scope and role, management/legal approve the wording, and the landing-page message is approved."
"Ad group","Search | Authority Approvals | Dubai","Dubai South Approval","Sitelink","Approval Services","","","Review approval support routes","Confirm project dependencies","https://emitronix.ae/approval","","","","","Hold - service scope and landing page approval required","Shared supporting sitelink; each ad group has four sitelinks in total. LAUNCH HOLD: Placeholder URL only; no paid final URL is approved. Do not upload or activate until Emitronix verifies the authority-specific service scope and role, management/legal approve the wording, and the landing-page message is approved."
"Ad group","Search | Authority Approvals | Dubai","Dubai South Approval","Sitelink","Warehouse Construction","","","Plan civil, MEP and approvals","Discuss your warehouse brief","https://emitronix.ae/warehouse-construction","","","","","Hold - service scope and landing page approval required","Shared supporting sitelink; each ad group has four sitelinks in total. LAUNCH HOLD: Placeholder URL only; no paid final URL is approved. Do not upload or activate until Emitronix verifies the authority-specific service scope and role, management/legal approve the wording, and the landing-page message is approved."
"Ad group","Search | Authority Approvals | Dubai","Dubai South Approval","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Hold - service scope and landing page approval required","Shared supporting sitelink; each ad group has four sitelinks in total. LAUNCH HOLD: Placeholder URL only; no paid final URL is approved. Do not upload or activate until Emitronix verifies the authority-specific service scope and role, management/legal approve the wording, and the landing-page message is approved."
"Ad group","Search | Authority Approvals | Dubai","Dubai South Approval","Structured snippet","","Service catalog","Service Scope Pending; Role Pending; Page Pending","","","","","","","","Hold - service scope and landing page approval required","Use Google Ads structured snippet header Service catalog; verify each value in preview. LAUNCH HOLD: Placeholder URL only; no paid final URL is approved. Do not upload or activate until Emitronix verifies the authority-specific service scope and role, management/legal approve the wording, and the landing-page message is approved."
"Ad group","Search | Authority Approvals | Dubai","DDA Approval","Sitelink","DDA Approval","","","Review the approval route","Plan documents and follow-up","https://emitronix.ae/dda-approvals","","","","","Paused - draft only","Tailored sitelink for this ad group."
"Ad group","Search | Authority Approvals | Dubai","DDA Approval","Sitelink","Approval Services","","","Review approval support routes","Confirm project dependencies","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","DDA Approval","Sitelink","Warehouse Construction","","","Plan civil, MEP and approvals","Discuss your warehouse brief","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","DDA Approval","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","DDA Approval","Structured snippet","","Service catalog","Route Review; Landlord NOCs; Submissions; Comment Follow-Up","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview."
"Ad group","Search | Authority Approvals | Dubai","RTA Approval","Sitelink","RTA Approval","","","Review the approval route","Plan documents and follow-up","https://emitronix.ae/rta-approval","","","","","Paused - draft only","Tailored sitelink for this ad group."
"Ad group","Search | Authority Approvals | Dubai","RTA Approval","Sitelink","Approval Services","","","Review approval support routes","Confirm project dependencies","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","RTA Approval","Sitelink","Warehouse Construction","","","Plan civil, MEP and approvals","Discuss your warehouse brief","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","RTA Approval","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","RTA Approval","Structured snippet","","Service catalog","Access Review; NOC Planning; Logistics Drawings; Comment Follow-Up","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview."
"Ad group","Search | Authority Approvals | Dubai","Building Permit Approval","Sitelink","Building Permit Help","","","Review the approval route","Plan documents and follow-up","https://emitronix.ae/dubai-municipality-approval","","","","","Paused - draft only","Tailored sitelink for this ad group."
"Ad group","Search | Authority Approvals | Dubai","Building Permit Approval","Sitelink","Approval Services","","","Review approval support routes","Confirm project dependencies","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","Building Permit Approval","Sitelink","Warehouse Construction","","","Plan civil, MEP and approvals","Discuss your warehouse brief","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","Building Permit Approval","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Authority Approvals | Dubai","Building Permit Approval","Structured snippet","","Service catalog","Route Review; Drawing Checks; Permit Planning; Comment Follow-Up","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview."
"Ad group","Search | Brand Protection | UAE","Emitronix Brand","Sitelink","Emitronix Services","","","Explore the relevant service","Request a tailored quotation","https://emitronix.ae/contact","","","","","Paused - draft only","Tailored sitelink for this ad group."
"Ad group","Search | Brand Protection | UAE","Emitronix Brand","Sitelink","Warehouse Construction","","","Plan civil, MEP and approvals","Discuss your warehouse brief","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Brand Protection | UAE","Emitronix Brand","Sitelink","Authority Approvals","","","See approval support routes","Plan documents and follow-up","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Brand Protection | UAE","Emitronix Brand","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Brand Protection | UAE","Emitronix Brand","Structured snippet","","Service catalog","Warehouses; Industrial Works; Civil Works; Approval Support","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview."
"Ad group","Search | Brand Protection | UAE","Emitronix Variations","Sitelink","Emitronix Contact","","","Explore the relevant service","Request a tailored quotation","https://emitronix.ae/contact","","","","","Paused - draft only","Tailored sitelink for this ad group."
"Ad group","Search | Brand Protection | UAE","Emitronix Variations","Sitelink","Warehouse Construction","","","Plan civil, MEP and approvals","Discuss your warehouse brief","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Brand Protection | UAE","Emitronix Variations","Sitelink","Authority Approvals","","","See approval support routes","Plan documents and follow-up","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Brand Protection | UAE","Emitronix Variations","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Brand Protection | UAE","Emitronix Variations","Structured snippet","","Service catalog","Warehouses; Industrial Works; Civil Works; Approval Support","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview."
"Ad group","Search | Brand Protection | UAE","Contractor Comparison","Sitelink","Compare Contractors","","","Explore the relevant service","Request a tailored quotation","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Tailored sitelink for this ad group."
"Ad group","Search | Brand Protection | UAE","Contractor Comparison","Sitelink","Warehouse Construction","","","Plan civil, MEP and approvals","Discuss your warehouse brief","https://emitronix.ae/warehouse-construction","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Brand Protection | UAE","Contractor Comparison","Sitelink","Authority Approvals","","","See approval support routes","Plan documents and follow-up","https://emitronix.ae/approval","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Brand Protection | UAE","Contractor Comparison","Sitelink","Contact Emitronix","","","Call or send project details","Mon-Sat, 8 AM to 6 PM","https://emitronix.ae/contact","","","","","Paused - draft only","Shared supporting sitelink; each ad group has four sitelinks in total."
"Ad group","Search | Brand Protection | UAE","Contractor Comparison","Structured snippet","","Service catalog","Scope Review; Interface Checks; Site Review; Quotation","","","","","","","","Paused - draft only","Use Google Ads structured snippet header Service catalog; verify each value in preview."
"Account","All campaigns","All ad groups","Callout","Dubai Project Support","","","","","","","","","","Paused - draft only","Verified or capability-based wording only; no ranking, guarantee or unverified credential claim."
"Account","All campaigns","All ad groups","Callout","Civil & MEP Coordination","","","","","","","","","","Paused - draft only","Verified or capability-based wording only; no ranking, guarantee or unverified credential claim."
"Account","All campaigns","All ad groups","Callout","Authority Follow-Up","","","","","","","","","","Paused - draft only","Verified or capability-based wording only; no ranking, guarantee or unverified credential claim."
"Account","All campaigns","All ad groups","Callout","Site Inspection Available","","","","","","","","","","Paused - draft only","Verified or capability-based wording only; no ranking, guarantee or unverified credential claim."
"Account","All campaigns","All ad groups","Callout","Request A Quotation","","","","","","","","","","Paused - draft only","Verified or capability-based wording only; no ranking, guarantee or unverified credential claim."
