"Asset ID","Status","Campaign","Ad Set","Asset Type","Format or Form Type","Funnel Stage","Concept","Primary Text","Headline","Description","CTA","Destination","Visual Direction","Sequence Cards Script or Questions","WhatsApp Greeting or Prefill","Privacy URL","Lead Form Thank-You","Compliance and Usage Notes"
"PT12","DRAFT - DO NOT PUBLISH","Authority Approval Leads","DDA RTA and Building Permit Support","Primary text","Flexible","Prospecting","Permit and NOC planning","A building permit or NOC pathway depends on the jurisdiction, proposed work, current approvals and formal submission responsibilities. Speak with Emitronix about DDA, RTA and other applicable Dubai coordination needs before site work is released.","","","Contact Us","Use only the matching https://emitronix.ae/dda-approvals or https://emitronix.ae/rta-approval page","","","","","","Avoid combining authority names in a way that implies one universal process."
"H01","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Headline","Flexible","Prospecting","Core warehouse service","","Warehouse Construction Dubai","","Get Quote","https://emitronix.ae/warehouse-construction","","","","","","Direct service headline."
"H02","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Headline","Flexible","Prospecting","Project discussion","","Discuss Your Warehouse Project","","Contact Us","https://emitronix.ae/warehouse-construction","","","","","","No timing promise."
"H03","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Headline","Flexible","Prospecting","Quotation CTA","","Request a Warehouse Quotation","","Get Quote","https://emitronix.ae/contact","","","","","","Quotation remains project-specific."
"H04","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Modification and Expansion","Headline","Flexible","Prospecting","Modification service","","Warehouse Modification Support","","Get Quote","https://emitronix.ae/warehouse/warehouse-expansion","","","","","","Use the consolidated expansion page after its paid-traffic rebuild; use support rather than specialist unless substantiated."
"H05","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Modification and Expansion","Headline","Flexible","Prospecting","Site visit CTA","","Book a Warehouse Site Inspection","","Book Now","https://emitronix.ae/contact","","","","","","Request only; do not promise availability."
"H06","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Factory and Industrial Construction","Headline","Flexible","Prospecting","Industrial service","","Factory and Industrial Construction","","Contact Us","https://emitronix.ae/industrial-buildings","","","","","","Use only with relevant industrial copy."
"H07","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Dubai Municipality and DCD Approvals","Headline","Flexible","Prospecting","Approval support","","Authority Approval Support Dubai","","Get Quote","LF-AP-HighIntent-v1; pair with the confirmed authority-specific context page","","","","","","No authority affiliation or outcome claim."
"H08","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Drawing Preparation Submission and Follow-Up","Headline","Flexible","Prospecting","Drawing CTA","","Send Your Drawings for Review","","Contact Us","LF-AP-HighIntent-v1; approval hub may be a post-submit supporting link only","","","","","","Provide a secure sharing method after initial qualification."
"H09","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Dubai Municipality and DCD Approvals","Headline","Flexible","Prospecting","DM and DCD","","DM and DCD Approval Support","","Learn More","LF-AP-HighIntent-v1; pair with the confirmed DM or DCD context page","","","","","","Support means coordination, not authority representation."
"H10","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Trakhees JAFZA and Dubai South Approvals","Headline","Flexible","Prospecting","Trakhees","","Trakhees Approval Coordination","","Learn More","https://emitronix.ae/trakhees-approvals","","","","","","Use only with confirmed Trakhees scope."
"H11","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Trakhees JAFZA and Dubai South Approvals","Headline","Flexible","Prospecting","JAFZA and Dubai South","","JAFZA or Dubai South Project?","","Contact Us","HOLD - no approved JAFZA or Dubai South final URL","","","","","","Conditional placeholder only. Do not activate until service scope, advertiser role and dedicated landing pages are verified; the generic approval hub is not a substitute final URL."
"H12","DRAFT - DO NOT PUBLISH","Authority Approval Leads","DDA RTA and Building Permit Support","Headline","Flexible","Prospecting","Permit review","","Start Your Permit Scope Review","","Contact Us","Use only the matching https://emitronix.ae/dda-approvals or https://emitronix.ae/rta-approval page","","","","","","Avoid any guarantee of permit acceptance."
"D01","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Description","Flexible","Prospecting","Core scope","","","Construction and modification planning for Dubai warehouse and industrial projects.","Get Quote","https://emitronix.ae/warehouse-construction","","","","","","Meta may not display descriptions in every placement."
"D02","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Civil MEP and Fire-System Works","Description","Flexible","Prospecting","Coordinated interfaces","","","Civil, structural, MEP, fire-safety and authority interfaces reviewed around the scope.","Contact Us","https://emitronix.ae/warehouse-construction","","","","","","Coordination language only."
"D03","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Description","Flexible","Prospecting","Project brief","","","Share your location, intended use and drawings for a project-specific review.","Get Quote","https://emitronix.ae/contact","","","","","","Do not state a guaranteed response time."
"D04","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Dubai Municipality and DCD Approvals","Description","Flexible","Prospecting","Route qualification","","","The applicable approval route depends on project location, scope, use and appointed parties.","Learn More","LF-AP-HighIntent-v1; pair with the confirmed authority-specific context page","","","","","","Recommended disclosure-friendly description."
"D05","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Drawing Preparation Submission and Follow-Up","Description","Flexible","Prospecting","Approval workflow","","","Drawing review, submission coordination, comment follow-up and inspection readiness.","Get Quote","LF-AP-HighIntent-v1; approval hub may be a post-submit supporting link only","","","","","","Exact deliverables belong in the project proposal."
"D06","DRAFT - DO NOT PUBLISH","Authority Approval Leads","WhatsApp Authority Enquiries","Description","Flexible","Prospecting","Fast qualification","","","Share the project location, required authority and drawing status to start the review.","Send WhatsApp Message","WhatsApp Business destination","","","","","","No claim of instant technical review."
"CWH01","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Warehouse ad concept","Single image or motion","Prospecting","The coordinated warehouse brief","","Plan the Warehouse Before Site Work","","Get Quote","https://emitronix.ae/warehouse-construction","Aerial or internal warehouse view with a clean overlay linking use, structure, access, utilities and fire safety; use actual rights-cleared imagery or clearly conceptual site artwork","On-image copy: Use + loads + access + approvals + handover","","","","If generated site artwork is used, never present it as a completed Emitronix project."
"CWH02","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Modification and Expansion","Warehouse ad concept","Single image or carousel","Prospecting","Modify without losing operational control","","Plan Your Warehouse Expansion","","Book Now","https://emitronix.ae/warehouse/warehouse-expansion","Split-frame concept showing current operation and proposed expansion zone with arrows for access, structure, services and phasing","On-image copy: Existing conditions first | Coordinated modification scope | Site inspection CTA","","","","Do not promise uninterrupted operations; present operational continuity as a planning consideration."
"CWH03","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Factory and Industrial Construction","Warehouse ad concept","Single image or short video","Prospecting","Operation drives the building","","Factory and Industrial Construction","","Contact Us","https://emitronix.ae/industrial-buildings","Industrial facility visual with an operations-to-building diagram for equipment loads, utilities, drainage, access and fire-life safety","On-image copy: Start with the operation","","","","Avoid depicting regulated work, certifications or past projects unless verified."
"CWH04","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Civil MEP and Fire-System Works","Warehouse ad concept","Carousel or motion graphic","Prospecting","Interfaces not isolated trades","","Coordinate Civil, MEP and Fire Systems","","Send WhatsApp Message","WhatsApp Business destination","Simple section drawing with color-coded civil, structural, MEP and fire-system zones; no authority logos","On-image copy: One scope | Visible interfaces | Fewer assumptions","","","","Conceptual coordination graphic only; not an engineering design."
"CWH05","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Warehouse ad concept","Single image","Prospecting","Five details for a useful quotation","","Request a Warehouse Quotation","","Get Quote","https://emitronix.ae/contact","Checklist-led creative over a restrained warehouse background","Checklist: Location | Approximate size | Intended use | Drawings | Expected start","","","","Do not advertise fast or fixed-price quotation unless an internal service level is verified."
"CAP01","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Dubai Municipality and DCD Approvals","Authority ad concept","Carousel or motion graphic","Prospecting","Find the applicable route","","Map Your Approval Route","","Learn More","LF-AP-HighIntent-v1; pair with the confirmed authority-specific context page","Neutral route map from location and scope to drawings, submission, comments and inspection; no authority seals or logos","On-image copy: Location + scope + use + appointed parties","","","","State that the route is project-specific and authority decisions remain external."
"CAP02","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Drawing Preparation Submission and Follow-Up","Authority ad concept","Single image or motion graphic","Prospecting","From comments to controlled revisions","","Send Your Drawings for Review","","Get Quote","LF-AP-HighIntent-v1; approval hub may be a post-submit supporting link only","Abstract drawing sheet with anonymized redline callouts, revision cloud and action-owner tracker","On-image copy: Review gaps | Coordinate revisions | Track comments","","","","Use fictional or fully anonymized drawings only; never expose a client plan."
"CAP03","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Trakhees JAFZA and Dubai South Approvals","Authority ad concept","Single image","Prospecting","Location changes the route","","Confirm the Right Approval Path","","Contact Us","HOLD - no approved JAFZA or Dubai South final URL","Stylized Dubai industrial-location map highlighting Jebel Ali, Dubai Investment Park and Dubai South without implying official boundaries","On-image copy: Exact location first","","","","Hold until JAFZA and Dubai South scope and landing pages are verified. Map is illustrative; do not use official logos or claim formal jurisdiction advice before review."
"CAP04","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Dubai Municipality and DCD Approvals","Authority ad concept","Single image or carousel","Prospecting","Inspection readiness","","Prepare for the Approval Inspection","","Contact Us","https://emitronix.ae/dcd-approvals","Inspection-readiness board showing approved drawings, installed condition, test records, labels and open observations","On-image copy: Drawings aligned | Evidence ready | Open items owned","","","","Do not imply that preparation guarantees inspection approval."
"CAP05","DRAFT - DO NOT PUBLISH","Authority Approval Leads","DDA RTA and Building Permit Support","Authority ad concept","Short video or single image","Prospecting","Permit before site release","","Start Your Permit Scope Review","","Contact Us","Use only the matching https://emitronix.ae/dda-approvals or https://emitronix.ae/rta-approval page","Permit-gate graphic placing jurisdiction, baseline drawings, proposed work and appointments before mobilization","On-image copy: Confirm before construction starts","","","","Avoid legal-advice language and guaranteed permit timelines."
"CR01","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Carousel concept","Carousel - 5 cards","Prospecting","Warehouse project lifecycle","Plan a warehouse project around the operation, approvals and handover evidence before construction decisions are fixed.","Plan Your Warehouse Project","A five-step warehouse construction brief.","Get Quote","https://emitronix.ae/warehouse-construction","One consistent warehouse visual system; card headlines legible at mobile size","Card 1: Define the operation - use, size, loads and access | Card 2: Map the route - location, landlord and authorities | Card 3: Coordinate the build - civil and structural scope | Card 4: Integrate services - MEP and fire-safety interfaces | Card 5: Prepare handover - inspections, records and close-out","","","","No fixed timeline, approval or price claim."
"CR02","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Modification and Expansion","Carousel concept","Carousel - 5 cards","Prospecting","Modification readiness check","Warehouse modifications work best when existing conditions, operations and approval exposure are reviewed as one brief.","Review Your Warehouse Modification","Check the scope before site work begins.","Book Now","https://emitronix.ae/warehouse/warehouse-expansion","Before-and-proposed concept using diagrams or rights-cleared site details","Card 1: Existing drawings - what is current | Card 2: Site condition - what is actually built | Card 3: Operations - access, downtime and safety | Card 4: Interfaces - structure, MEP and fire systems | Card 5: Next step - request a site inspection","","","","Use only after the consolidated expansion page is rebuilt and approved for paid traffic. Do not guarantee that the facility can remain operational throughout works."
"CR03","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Drawing Preparation Submission and Follow-Up","Carousel concept","Carousel - 5 cards","Prospecting","Approval coordination pathway","The correct approval route begins with the project location, proposed work and current documents.","Start Your Approval Scope Review","Drawing, submission and follow-up support for applicable Dubai projects.","Get Quote","LF-AP-HighIntent-v1; approval hub may be a post-submit supporting link only","Document-led graphics; no government seals, uniforms or imitation authority interfaces","Card 1: Confirm jurisdiction - location and asset | Card 2: Review the baseline - current approvals and drawings | Card 3: Define responsibilities - owner, consultant and contractor | Card 4: Coordinate comments - revisions and evidence | Card 5: Prepare close-out - inspections and records","","","","Authority decisions, requirements and timelines are outside the advertiser's control."
"VID01","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Short video script","15 seconds - 9:16 and 4:5","Prospecting","Warehouse brief in 15 seconds","Planning a warehouse in Dubai? Start with the operation, site and approval route, then coordinate civil, MEP, fire safety and handover around one brief.","Discuss Your Warehouse Project","Share the location and drawings to start the review.","Get Quote","https://emitronix.ae/warehouse-construction","Fast, clean cuts between site plan, warehouse exterior, coordination overlay and project-detail form; captions always on","0-3s on-screen: Planning a warehouse in Dubai? Voiceover: Start with how the facility will operate. | 3-7s on-screen: Site + loads + access + approvals. Voiceover: Define the site, loads, access and approval exposure. | 7-12s on-screen: Civil + MEP + fire safety. Voiceover: Coordinate the construction interfaces before work begins. | 12-15s on-screen: Share your project brief. Voiceover: Discuss the scope with Emitronix.","","","","Use rights-cleared or conceptual footage; do not label imagery as an Emitronix project unless verified."
"VID02","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Modification and Expansion","Short video script","20 seconds - 9:16 and 4:5","Prospecting","Modification before demolition","Modifying an operating warehouse? Review the existing condition, structural changes, MEP capacity, fire systems and approval route before site work starts.","Book a Warehouse Site Inspection","Bring the drawings and operating constraints into one scope.","Book Now","https://emitronix.ae/warehouse/warehouse-expansion","Split-screen current and proposed condition; use schematic overlays rather than unverified before-and-after claims","0-4s on-screen: Modifying an operating warehouse? Voiceover: A modification starts with what is already built and how the site operates. | 4-9s on-screen: Structure + access + MEP. Voiceover: Check structural changes, access and service capacity together. | 9-14s on-screen: Fire safety + approvals. Voiceover: Confirm the fire-safety and approval route before release. | 14-20s on-screen: Book a site inspection. Voiceover: Share the location and drawings with Emitronix.","","","","Site inspection is subject to review and scheduling; no uninterrupted-operation promise."
"VID03","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Dubai Municipality and DCD Approvals","Short video script","20 seconds - 9:16 and 4:5","Prospecting","Approval route explainer","Need approval support for a Dubai warehouse or building modification? The correct route depends on the location, scope, current approvals and appointed parties.","Send Your Drawings for Review","Coordinate the agreed submission, comment and inspection-readiness scope.","Get Quote","LF-AP-HighIntent-v1; pair with the confirmed authority-specific context page","Animated document pathway with neutral icons and anonymized drawings; never use government logos","0-4s on-screen: Which approval route applies? Voiceover: Start with the exact location and proposed work. | 4-9s on-screen: Review drawings and current approvals. Voiceover: Check the baseline and document gaps. | 9-14s on-screen: Coordinate submissions and comments. Voiceover: Track responsibilities and revisions through the agreed route. | 14-20s on-screen: Send your project details. Small text: Authority decisions and timelines remain with the relevant body. Voiceover: Discuss the scope with Emitronix.","","","","The disclaimer must remain visible long enough to read."
"WA01","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","WhatsApp variation","Click to WhatsApp","Prospecting","New warehouse qualification","Planning a new warehouse in Dubai? Send the basic project brief on WhatsApp so the Emitronix team can review the location, intended use, approximate size and available drawings.","WhatsApp Your Warehouse Brief","Start with five project details.","Send WhatsApp Message","WhatsApp Business destination","Warehouse plan or exterior with a short five-detail checklist","Automated questions, maximum six: What type of project is this? | Where is it located? | What is the approximate warehouse size? | Are drawings available, yes or no? | When do you expect to start? | Briefly describe the required scope.","Greeting: Thank you for contacting Emitronix Contracting LLC. Please share a few project details so the team can route your enquiry. Prefill: Hello Emitronix, I would like to discuss a warehouse project. Type: [new/modification/other]. Location: [ ]. Approximate size: [ ]. Drawings: [yes/no]. Expected start: [ ].","https://emitronix.ae/privacy-policy","","Obtain consent before moving personal data to CRM; do not request confidential drawings in the automated flow."
"WA02","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Modification and Expansion","WhatsApp variation","Click to WhatsApp","Prospecting","Modification or expansion qualification","Considering a warehouse modification, renovation or expansion? Message the project location, current operating status and drawing availability to begin a scope discussion.","Discuss a Warehouse Modification","Review existing conditions before site work.","Send WhatsApp Message","WhatsApp Business destination","Current-condition photo or conceptual split plan with modification zone highlighted","Automated questions, maximum six: Is this a modification, renovation or expansion? | Project location? | Is the warehouse operating now? | Approximate affected area? | Existing drawings available, yes or no? | What change is required and when?","Greeting: Thank you for contacting Emitronix. We will start by understanding the existing warehouse and proposed change. Prefill: Hello Emitronix, I need support for a warehouse [modification/renovation/expansion]. Location: [ ]. Operating now: [yes/no]. Affected area: [ ]. Drawings: [yes/no]. Required change: [ ].","https://emitronix.ae/privacy-policy","","Do not promise the facility can stay open during work; confirm feasibility after review."
"WA03","DRAFT - DO NOT PUBLISH","Authority Approval Leads","WhatsApp Authority Enquiries","WhatsApp variation","Click to WhatsApp","Prospecting","Authority and drawing status qualification","Need approval support for a Dubai construction or warehouse modification project? Send the location, proposed work, required authority if known and drawing status to start the scope review.","WhatsApp Your Approval Enquiry","Confirm the route before submission.","Send WhatsApp Message","WhatsApp Business destination","Anonymized drawing and checklist with location, scope, authority and status","Automated questions, maximum six: Where is the project? | What work is proposed? | Which authority or master developer is involved, if known? | Are current and proposed drawings available? | Have comments or a rejection been received? | What is the expected project start date?","Greeting: Thank you for contacting Emitronix Contracting LLC. Approval requirements depend on the exact project and authority route. Prefill: Hello Emitronix, I need approval support. Location: [ ]. Proposed work: [ ]. Authority if known: [ ]. Drawings: [yes/no]. Current status or comments: [ ].","https://emitronix.ae/privacy-policy","","No approval, acceptance or response time is guaranteed; provide a secure method before collecting files."
"FORM01","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Warehouse Construction","Instant lead form version","More volume - short form","Prospecting","First form - short warehouse enquiry","","Discuss Your Warehouse Project","Share five details so Emitronix can route the enquiry for review.","Get Quote","LF-WH-Short-v1; context URL https://emitronix.ae/warehouse-construction","Form cover: clean warehouse image or conceptual project-plan graphic","Intro: Planning construction, modification or industrial works? Submit the basic project details. | Questions: Full name [prefill] | Company name [short answer] | Mobile number [prefill] | Project location [short answer] | Type of project [New warehouse; Warehouse modification or expansion; Factory or industrial building; Civil, MEP or fire-system works; Authority approval support; Other] | Consent: By submitting, you confirm that Emitronix may contact you about this enquiry and that you have read the privacy policy.","","https://emitronix.ae/privacy-policy","Headline: Thank you. Your enquiry has been received. | Body: The team will review the details and contact you using the information provided if the scope can be progressed. | Button: Visit Website | URL: https://emitronix.ae/warehouse-construction","This is the required first short form. It intentionally omits email, size and start date to reduce friction; CRM follow-up should collect missing qualification data."
"FORM02","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Factory and Industrial Construction","Instant lead form version","Higher intent - review step","Consideration","Second form - high-intent warehouse and industrial enquiry","","Request a Project-Specific Review","Provide the project, drawing and timing details needed for an initial scope assessment.","Get Quote","LF-WH-HighIntent-v1; context URL https://emitronix.ae/industrial-buildings","Form cover: warehouse or industrial plan-review scene with no unverified project claim","Intro: Use this form when the project location, intended works and key documents are known. | Questions: Full name [prefill] | Company name [short answer] | Mobile number [prefill] | Email [prefill] | Project location [short answer] | Type of project [New warehouse; Modification; Expansion; Factory or industrial building; Civil works; MEP or fire-system coordination; Other] | Approximate warehouse or project size [multiple choice: Under 1,000 sq m; 1,000-4,999 sq m; 5,000-9,999 sq m; 10,000+ sq m; Not confirmed] | Required authority approval [Dubai Municipality; Dubai Civil Defence; Trakhees; JAFZA or master developer; Dubai South; DDA; RTA; Other or not confirmed] | Existing drawings available [Yes; No; Partial] | Existing site operating [Yes; No; Not applicable] | Expected project start date [Within 1 month; 1-3 months; 3-6 months; More than 6 months; Not confirmed] | Short project description [long answer] | Consent: By submitting, you confirm that Emitronix may contact you about this enquiry and that you have read the privacy policy. | Review screen: enabled before submission.","","https://emitronix.ae/privacy-policy","Headline: Thank you for the detailed brief. | Body: Emitronix will review the submitted information and contact you if further scope, documents or a site discussion are required. Do not send confidential drawings until a secure sharing method is confirmed. | Button: Visit Website | URL: https://emitronix.ae/contact","This is the required second high-intent form. The form does not promise eligibility, quotation, approval or a response deadline."
"FORM03","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Drawing Preparation Submission and Follow-Up","Instant lead form version","Higher intent - review step","Consideration","Third form - authority approval enquiry","","Start Your Approval Scope Review","Share the location, authority, documents and current status for a project-specific review.","Get Quote","LF-AP-HighIntent-v1; context URL https://emitronix.ae/approval","Form cover: anonymized drawing set and neutral approval pathway; no authority logos","Intro: Approval requirements depend on the exact jurisdiction, project type, proposed work and appointed parties. | Questions: Full name [prefill] | Company name [short answer] | Mobile number [prefill] | Email [prefill] | Project location [short answer] | Type of project [Warehouse construction; Warehouse modification; Factory or industrial building; Fit-out or renovation; Civil or MEP works; Other] | Approximate project size [short answer or Not confirmed] | Required authority approval [Dubai Municipality; Dubai Civil Defence; Trakhees; JAFZA or master developer; Dubai South; DDA; RTA; Other; Not confirmed] | Existing drawings available [Yes; No; Partial] | Current status [Not submitted; Preparing documents; Submitted; Comments received; Inspection stage; Not sure] | Expected project start date [Within 1 month; 1-3 months; 3-6 months; More than 6 months; Not confirmed] | Short project description or authority comments [long answer] | Consent: By submitting, you confirm that Emitronix may contact you about this enquiry and that you have read the privacy policy. | Review screen: enabled before submission.","","https://emitronix.ae/privacy-policy","Headline: Your approval enquiry has been received. | Body: The team will review the location, stated authority and document status. The applicable route, responsibilities and next steps must be confirmed for the specific project. | Button: Learn More | URL: https://emitronix.ae/approval","No permit, NOC, inspection, authority response or timeline is guaranteed. Secure document transfer must be agreed separately."
