"Row ID","Status","Campaign","Objective","Campaign Daily Budget AED - Campaign Reference Only Do Not Sum","Budget Control","Ad Set","Ad Set Purpose","Conversion Location","Performance Goal","Optimization Event","Audience Setup","Location Control","Custom Audience Exclusions","Placements","Format","Destination or Asset","CTA","UTM Campaign","UTM Content","Launch Phase","Activation Condition","Special Ad Category","Notes"
"W11","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Civil MEP and Fire-System Works","Civil works, MEP coordination and warehouse fire-system interface enquiries","WhatsApp","Maximize number of conversations","Qualified WhatsApp conversation","Advantage+ audience; age 18+; all genders; no language restriction; facility management, MEP, fire safety, warehouse operations and construction signals as suggestions only","Strict Dubai control; use industrial-area pins or radii only when available and large enough to deliver","Exclude recent qualified conversations, submitted leads and customers when lawful custom audiences exist","Eligible click-to-WhatsApp placements; provide captioned 4:5 and 9:16 video","Short video","WhatsApp Business destination; WA01 or WA02 conversation starter","Send WhatsApp Message","meta_warehouse_leads","w11_whatsapp_video","Phase 3","WhatsApp quality and response-time baseline exists; rotate within the existing campaign budget","None expected - verify in Ads Manager","Use a concise coordination sequence and end with the project-type question."
"W12","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Shared campaign budget only; no separate retargeting budget and no automatic increase","Retargeting Website Visitors","Re-engage warehouse and industrial page visitors and Meta engagers","Website","Maximize number of conversions","generate_lead","Original audience options where available; combine eligible website visitors, page or Instagram engagers and video viewers; do not allow expansion if a true retargeting test is required","Strict Dubai control unless source audience and service area justify a separately approved UAE test","Exclude submitted leads, qualified leads and current customers when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Single image","https://emitronix.ae/contact","Get Quote","meta_warehouse_leads","w12_retarget_static","Phase 3 conditional","Activate only after Meta Pixel, consent and deduplicated generate_lead tracking pass QA and Meta reports the combined custom audience eligible with meaningful forecast reach; otherwise remain off","None expected - verify in Ads Manager","Pool 30, 60 and 180-day windows at this budget; do not fragment by page or recency until volume supports it."
"W13","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Shared campaign budget only; no separate retargeting budget and no automatic increase","Retargeting Website Visitors","Re-engage warehouse and industrial page visitors and Meta engagers","Website","Maximize number of conversions","generate_lead","Original audience options where available; combine eligible website visitors, page or Instagram engagers and video viewers; do not allow expansion if a true retargeting test is required","Strict Dubai control unless source audience and service area justify a separately approved UAE test","Exclude submitted leads, qualified leads and current customers when lawful first-party custom audiences exist","Advantage+ placements; provide captioned 4:5 and 9:16 video","Short video","https://emitronix.ae/contact","Discuss Your Project","meta_warehouse_leads","w13_retarget_video","Phase 3 conditional","Activate only after Meta Pixel, consent and deduplicated generate_lead tracking pass QA and Meta reports the combined custom audience eligible with meaningful forecast reach; rotate within AED 10 campaign budget","None expected - verify in Ads Manager","Use VID01 or VID02 with a direct project-details reminder."
"W14","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Shared campaign budget only; no separate lookalike budget and no automatic increase","Lookalike Qualified Leads","Prospecting from a representative qualified-lead or customer seed","Instant form","Maximize number of conversion leads only after CRM and Conversions API feedback is validated","Qualified lead returned from CRM","Advantage+ audience; qualified-lead or customer lookalike used as a suggestion, not a guaranteed boundary; retain broad location control","Strict Dubai control; future Abu Dhabi or Sharjah expansion requires written approval","Exclude the source audience, submitted leads and current customers when lawful custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Single image","LF-WH-HighIntent-v1; context URL https://emitronix.ae/warehouse-construction","Request a Quote","meta_warehouse_leads","w14_lal_static","Phase 3 conditional","Activate only when the source is consented, deduplicated, representative, matched and eligible in Meta, with enough quality data to evaluate","None expected - verify in Ads Manager","Do not build from all leads; use qualified or won opportunities where available."
"W15","DRAFT - DO NOT PUBLISH","Warehouse Construction Leads","Leads","10","Shared campaign budget only; no separate lookalike budget and no automatic increase","Lookalike Qualified Leads","Prospecting from a representative qualified-lead or customer seed","Instant form","Maximize number of conversion leads only after CRM and Conversions API feedback is validated","Qualified lead returned from CRM","Advantage+ audience; qualified-lead or customer lookalike used as a suggestion, not a guaranteed boundary; retain broad location control","Strict Dubai control; future Abu Dhabi or Sharjah expansion requires written approval","Exclude the source audience, submitted leads and current customers when lawful custom audiences exist","Advantage+ placements; provide captioned 4:5 and 9:16 video","Short video","LF-WH-HighIntent-v1; context URL https://emitronix.ae/warehouse-construction","Discuss Your Project","meta_warehouse_leads","w15_lal_video","Phase 3 conditional","Activate only when the source is consented, deduplicated, representative, matched and eligible in Meta; rotate within AED 10 campaign budget","None expected - verify in Ads Manager","Use the same qualification form as other high-intent warehouse prospecting."
"A01","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; only one authority prospecting ad set live initially","Dubai Municipality and DCD Approvals","Municipality, fire and life-safety approval-support enquiries","Instant form","Maximize number of leads initially; use conversion leads only after CRM and Conversions API feedback is validated","Instant form submitted","Advantage+ audience; age 18+; all genders; no language restriction; construction, architecture, facility management, fire safety, property operations and project management signals as suggestions only","Strict Dubai control; do not split into small industrial-zone audiences at AED 5 per day","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Single image","LF-AP-HighIntent-v1; context URL https://emitronix.ae/dubai-municipality-approval","Get Quote","meta_authority_leads","a01_static_dm","Phase 1","Initial live ad set for this campaign; form, privacy, routing and written approval complete","None expected - verify in Ads Manager","State approval support and coordination; never promise authority outcome or timeline."
"A02","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; only one authority prospecting ad set live initially","Dubai Municipality and DCD Approvals","Municipality, fire and life-safety approval-support enquiries","Instant form","Maximize number of leads initially; use conversion leads only after CRM and Conversions API feedback is validated","Instant form submitted","Advantage+ audience; age 18+; all genders; no language restriction; construction, architecture, facility management, fire safety, property operations and project management signals as suggestions only","Strict Dubai control; do not split into small industrial-zone audiences at AED 5 per day","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Carousel","LF-AP-HighIntent-v1; context URL https://emitronix.ae/dcd-approvals","Learn More","meta_authority_leads","a02_carousel_dcd","Phase 2","Test after Phase 1 baseline; share the same AED 5 campaign budget","None expected - verify in Ads Manager","Use CR03; present the process as project-specific and authority-dependent."
"A03","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; only one authority prospecting ad set live initially","Dubai Municipality and DCD Approvals","Municipality, fire and life-safety approval-support enquiries","Instant form","Maximize number of leads initially; use conversion leads only after CRM and Conversions API feedback is validated","Instant form submitted","Advantage+ audience; age 18+; all genders; no language restriction; construction, architecture, facility management, fire safety, property operations and project management signals as suggestions only","Strict Dubai control; do not split into small industrial-zone audiences at AED 5 per day","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide captioned 4:5 and 9:16 video","Short video","LF-AP-HighIntent-v1; context URL https://emitronix.ae/warehouse/warehouse-authority-approvals","Send Drawings","meta_authority_leads","a03_video_pathway","Phase 1","Second creative within the initial authority ad set; written approval complete","None expected - verify in Ads Manager","Use VID03 and make the authority-dependency disclaimer legible."
"A04","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Trakhees JAFZA and Dubai South Approvals","Free-zone and master-developer approval-support enquiries","Website","Maximize number of conversions","generate_lead","Advantage+ audience; age 18+; all genders; no language restriction; free-zone business, logistics, warehousing, construction management and facility operations signals as suggestions only","Strict Dubai control; use Jebel Ali, Dubai South or relevant pins only when Meta supports them and delivery remains viable","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Single image","https://emitronix.ae/trakhees-approvals","Get Quote","meta_authority_leads","a04_static_trakhees","Phase 2","Trakhees page above-fold conversion and tracking improvements approved; Pixel, consent and deduplicated generate_lead event validated; rotate after Phase 1","None expected - verify in Ads Manager","Trakhees-only asset. Confirm exact jurisdiction and appointment route for each enquiry."
"A05","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Trakhees JAFZA and Dubai South Approvals","Conditional JAFZA and Dubai South enquiries; service scope and advertiser role unverified","Website","Maximize number of conversions","generate_lead","Advantage+ audience; age 18+; all genders; no language restriction; free-zone business, logistics, warehousing, construction management and facility operations signals as suggestions only","Strict Dubai control; use Jebel Ali, Dubai South or relevant pins only when Meta supports them and delivery remains viable","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Carousel","HOLD - no approved JAFZA or Dubai South final URL","Learn More","meta_authority_leads","a05_carousel_freezone","Hold","Do not activate until the exact JAFZA or Dubai South service scope, advertiser role and dedicated landing page are verified and approved","None expected - verify in Ads Manager","The generic approval hub is not an approved substitute final URL. Trakhees assets must use the dedicated Trakhees page."
"A06","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Trakhees JAFZA and Dubai South Approvals","Conditional JAFZA and Dubai South enquiries; service scope and advertiser role unverified","Website","Maximize number of conversions","generate_lead","Advantage+ audience; age 18+; all genders; no language restriction; free-zone business, logistics, warehousing, construction management and facility operations signals as suggestions only","Strict Dubai control; use Jebel Ali, Dubai South or relevant pins only when Meta supports them and delivery remains viable","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide captioned 4:5 and 9:16 video","Short video","HOLD - no approved JAFZA or Dubai South final URL","Send Drawings","meta_authority_leads","a06_video_freezone","Hold","Do not activate until the exact JAFZA or Dubai South service scope, advertiser role and dedicated landing page are verified and approved","None expected - verify in Ads Manager","The generic approval hub is not an approved substitute final URL. Explain that location, scope, use and appointed parties determine the route only after scope verification."
"A07","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; do not run every planned ad set together","DDA RTA and Building Permit Support","DDA, RTA, building-permit and NOC coordination enquiries","Website","Maximize number of conversions","generate_lead","Advantage+ audience; age 18+; all genders; no language restriction; development, construction project management, architecture, facilities and infrastructure signals as suggestions only","Strict Dubai control; avoid over-narrowing by authority name because detailed-targeting availability varies","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Single image","https://emitronix.ae/dda-approvals","Learn More","meta_authority_leads","a07_static_dda","Phase 2","DDA page above-fold conversion and tracking improvements approved; Pixel and deduplicated generate_lead event validated; rotate within the AED 5 campaign budget","None expected - verify in Ads Manager","Use DDA-specific copy only with this page."
"A08","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; do not run every planned ad set together","DDA RTA and Building Permit Support","DDA, RTA, building-permit and NOC coordination enquiries","Website","Maximize number of conversions","generate_lead","Advantage+ audience; age 18+; all genders; no language restriction; development, construction project management, architecture, facilities and infrastructure signals as suggestions only","Strict Dubai control; avoid over-narrowing by authority name because detailed-targeting availability varies","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide captioned 4:5 and 9:16 video","Short video","https://emitronix.ae/rta-approval","Learn More","meta_authority_leads","a08_video_rta","Phase 2","RTA page above-fold conversion and tracking improvements approved; Pixel and deduplicated generate_lead event validated; rotate within the AED 5 campaign budget","None expected - verify in Ads Manager","Use RTA-specific access, road-interface and NOC copy only with this page."
"A09","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Drawing Preparation Submission and Follow-Up","Drawing review, preparation, submission coordination, comment response and inspection-readiness enquiries","Instant form","Maximize number of leads initially; use conversion leads only after CRM and Conversions API feedback is validated","Instant form submitted","Advantage+ audience; age 18+; all genders; no language restriction; architecture, engineering, project management, building renovation, facility operations and construction signals as suggestions only","Strict Dubai control; maintain one broad audience at this budget","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Single image","LF-AP-HighIntent-v1; context URL https://emitronix.ae/approval","Send Drawings","meta_authority_leads","a09_static_drawings","Phase 2","Approval-specific form and CRM mapping are tested; rotate after initial authority ad set","None expected - verify in Ads Manager","Request confirmation that drawings exist; do not solicit confidential plans before secure handling is agreed."
"A10","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Drawing Preparation Submission and Follow-Up","Drawing review, preparation, submission coordination, comment response and inspection-readiness enquiries","Instant form","Maximize number of leads initially; use conversion leads only after CRM and Conversions API feedback is validated","Instant form submitted","Advantage+ audience; age 18+; all genders; no language restriction; architecture, engineering, project management, building renovation, facility operations and construction signals as suggestions only","Strict Dubai control; maintain one broad audience at this budget","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Carousel","LF-AP-HighIntent-v1; context URL https://emitronix.ae/approval","Get Quote","meta_authority_leads","a10_carousel_drawings","Phase 2","Approval-specific form and CRM mapping are tested; share the existing campaign budget","None expected - verify in Ads Manager","Use document-checklist cards without showing real client drawings or authority marks."
"A11","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; do not run every planned ad set together","Drawing Preparation Submission and Follow-Up","Drawing review, preparation, submission coordination, comment response and inspection-readiness enquiries","Instant form","Maximize number of leads initially; use conversion leads only after CRM and Conversions API feedback is validated","Instant form submitted","Advantage+ audience; age 18+; all genders; no language restriction; architecture, engineering, project management, building renovation, facility operations and construction signals as suggestions only","Strict Dubai control; maintain one broad audience at this budget","Exclude submitted leads and current customers only when lawful first-party custom audiences exist","Advantage+ placements; provide captioned 4:5 and 9:16 video","Short video","LF-AP-HighIntent-v1; context URL https://emitronix.ae/approval","Send Drawings","meta_authority_leads","a11_video_drawings","Phase 2","Approval-specific form and CRM mapping are tested; phased creative rotation only","None expected - verify in Ads Manager","Use a document-to-comment-to-inspection sequence and note that authority decisions remain external."
"A12","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; run as a phased alternative to forms","WhatsApp Authority Enquiries","Fast qualification for project location, authority and drawing status","WhatsApp","Maximize number of conversations","Qualified WhatsApp conversation","Advantage+ audience; age 18+; all genders; no language restriction; construction, facilities, architecture, industrial property and project management signals as suggestions only","Strict Dubai control; maintain one broad audience at this budget","Exclude recent qualified conversations, submitted leads and customers when lawful custom audiences exist","Eligible click-to-WhatsApp placements; provide 1:1, 4:5 and 9:16 assets","Single image","WhatsApp Business destination; WA03 conversation starter","Send WhatsApp Message","meta_authority_leads","a12_whatsapp_authority","Phase 2","Verified WhatsApp Business connection, consent notice, routing and staffed response process are ready","None expected - verify in Ads Manager","Use no more than six opening questions; exact authority route is confirmed after document review."
"A13","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Advantage campaign budget; no automatic increase; run as a phased alternative to forms","WhatsApp Authority Enquiries","Fast qualification for project location, authority and drawing status","WhatsApp","Maximize number of conversations","Qualified WhatsApp conversation","Advantage+ audience; age 18+; all genders; no language restriction; construction, facilities, architecture, industrial property and project management signals as suggestions only","Strict Dubai control; maintain one broad audience at this budget","Exclude recent qualified conversations, submitted leads and customers when lawful custom audiences exist","Eligible click-to-WhatsApp placements; provide captioned 4:5 and 9:16 video","Short video","WhatsApp Business destination; WA03 conversation starter","Send WhatsApp Message","meta_authority_leads","a13_whatsapp_video","Phase 3","WhatsApp quality and response-time baseline exists; rotate within the AED 5 campaign budget","None expected - verify in Ads Manager","Use VID03 with a WhatsApp CTA; do not imply an instant permit review or guaranteed outcome."
"A14","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Shared campaign budget only; no separate retargeting budget and no automatic increase","Authority Retargeting","Re-engage approval-page visitors, form openers, video viewers and Meta engagers","Website","Maximize number of conversions","generate_lead","Original audience options where available; combine eligible authority page visitors, form openers who did not submit, page or Instagram engagers and video viewers; disable expansion for a true retargeting test","Strict Dubai control unless the source audience and verified service area justify a separately approved test","Exclude submitted leads, qualified leads and current customers when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Single image","https://emitronix.ae/contact","Send Drawings","meta_authority_leads","a14_retarget_static","Phase 3 conditional","Activate only after Meta Pixel, consent and deduplicated generate_lead tracking pass QA and Meta reports the combined audience eligible with meaningful forecast reach; otherwise remain off","None expected - verify in Ads Manager","Pool windows to preserve delivery; share the AED 5 campaign budget and expect limited reach."
"A15","DRAFT - DO NOT PUBLISH","Authority Approval Leads","Leads","5","Shared campaign budget only; no separate retargeting budget and no automatic increase","Authority Retargeting","Re-engage approval-page visitors, form openers, video viewers and Meta engagers","Instant form","Maximize number of leads initially; use conversion leads only after CRM and Conversions API feedback is validated","Instant form submitted","Original audience options where available; combine eligible authority page visitors, form openers who did not submit, page or Instagram engagers and video viewers; disable expansion for a true retargeting test","Strict Dubai control unless the source audience and verified service area justify a separately approved test","Exclude submitted leads, qualified leads and current customers when lawful first-party custom audiences exist","Advantage+ placements; provide 1:1, 4:5 and 9:16 assets","Carousel","LF-AP-HighIntent-v1; context URL https://emitronix.ae/approval","Get Quote","meta_authority_leads","a15_retarget_carousel","Phase 3 conditional","Activate only when Meta reports the combined audience eligible and forecast reach is meaningful; rotate within AED 5 campaign budget","None expected - verify in Ads Manager","Use CR03 with a reminder to share location, scope and drawing status."
