"Level","Campaign","Ad Group","Negative Keyword","Match Type","Rationale","Status","Notes"
"Account","All campaigns","All ad groups","residential warehouse","Phrase","Irrelevant residential intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","house warehouse","Phrase","Irrelevant residential intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","storage rental","Phrase","Property rental intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","warehouse for rent","Phrase","Property rental intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","warehouse rent","Phrase","Property rental intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","warehouse for sale","Phrase","Property purchase intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","used warehouse","Phrase","Second-hand asset intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","self storage","Phrase","Consumer storage intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","storage unit","Phrase","Consumer storage intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","commercial property rental","Phrase","Property rental intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","industrial property for sale","Phrase","Property purchase intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","warehouse software","Phrase","Software intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","inventory software","Phrase","Software intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","warehouse management system","Phrase","Software intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","wms software","Phrase","Software intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","labour supply","Phrase","Labour-only enquiry","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","manpower supply","Phrase","Labour-only enquiry","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","material supply only","Phrase","Material-only enquiry","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","construction materials","Phrase","Material purchase intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","equipment rental","Phrase","Rental-only enquiry","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","forklift rental","Phrase","Equipment rental intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","crane rental","Phrase","Equipment rental intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","pallet racking for sale","Phrase","Product-only enquiry","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","used racking","Phrase","Second-hand product intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","shipping container for sale","Phrase","Product purchase intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","cheap","Exact","Low-quality price-only intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","cheapest","Phrase","Low-quality price-only intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Account","All campaigns","All ad groups","low price only","Phrase","Low-quality price-only intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Warehouse Construction | Dubai","All ad groups","emitronix","Exact","Route brand demand to Brand campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Warehouse Construction | Dubai","All ad groups","dubai municipality approval service","Exact","Route authority-only demand to Approvals campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Warehouse Construction | Dubai","All ad groups","dubai civil defence approval","Exact","Route authority-only demand to Approvals campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Warehouse Construction | Dubai","All ad groups","trakhees approval service","Exact","Route authority-only demand to Approvals campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Warehouse Construction | Dubai","All ad groups","jafza approval service","Exact","Route authority-only demand to Approvals campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Warehouse Construction | Dubai","All ad groups","dubai south approval service","Exact","Route authority-only demand to Approvals campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Warehouse Construction | Dubai","All ad groups","dda approval service","Exact","Route authority-only demand to Approvals campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Warehouse Construction | Dubai","All ad groups","rta approval dubai","Exact","Route authority-only demand to Approvals campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Authority Approvals | Dubai","All ad groups","warehouse construction company dubai","Exact","Route construction-only demand to Warehouse campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Authority Approvals | Dubai","All ad groups","warehouse contractor dubai","Exact","Route construction-only demand to Warehouse campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Authority Approvals | Dubai","All ad groups","factory construction company dubai","Exact","Route construction-only demand to Warehouse campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Authority Approvals | Dubai","All ad groups","industrial building contractor dubai","Exact","Route construction-only demand to Warehouse campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Authority Approvals | Dubai","All ad groups","emitronix","Exact","Route brand demand to Brand campaign","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Authority Approvals | Dubai","All ad groups","approval portal login","Phrase","Portal self-service intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Authority Approvals | Dubai","All ad groups","application status","Phrase","Existing application tracking intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Authority Approvals | Dubai","All ad groups","permit renewal online","Phrase","Self-service renewal intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Brand Protection | UAE","All ad groups","competitor careers","Phrase","Employment intent tied to comparison searches","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Campaign","Search | Brand Protection | UAE","All ad groups","company registration lookup","Phrase","Registry lookup intent","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Construction","warehouse contractors dubai","Exact","Route contractor-comparison query to Contractors ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Contractors","warehouse construction cost dubai","Exact","Route cost-led build query to Construction ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Warehouse Construction | Dubai","Industrial Warehouse","factory construction dubai","Exact","Route factory query to Factory ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Expansion","warehouse modification dubai","Exact","Route modification query to Modification ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Modification","warehouse extension dubai","Exact","Route extension query to Expansion ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Warehouse Construction | Dubai","Factory Construction","industrial warehouse construction dubai","Exact","Route warehouse query to Industrial Warehouse ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse Civil Works","warehouse mep contractor dubai","Exact","Route MEP query to MEP ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Warehouse Construction | Dubai","Warehouse MEP Works","warehouse civil works dubai","Exact","Route civil query to Civil Works ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Authority Approvals | Dubai","Dubai Municipality Approval","dubai civil defence approval","Exact","Route DCD query to DCD ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Authority Approvals | Dubai","Dubai Civil Defence Approval","dubai municipality approval service","Exact","Route DM query to DM ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Authority Approvals | Dubai","Trakhees Approval","jafza approval service","Exact","Route JAFZA query to JAFZA ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Authority Approvals | Dubai","JAFZA Approval","trakhees approval dubai","Exact","Route Trakhees query to Trakhees ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Authority Approvals | Dubai","Dubai South Approval","jafza warehouse approval","Exact","Route JAFZA query to JAFZA ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Authority Approvals | Dubai","DDA Approval","rta approval dubai","Exact","Route RTA query to RTA ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Authority Approvals | Dubai","RTA Approval","dda approval dubai","Exact","Route DDA query to DDA ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Authority Approvals | Dubai","Building Permit Approval","dubai municipality drawing approval","Exact","Route municipality-specific query to DM ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Brand Protection | UAE","Emitronix Brand","emitronics dubai","Exact","Route spelling variation to Variations ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Brand Protection | UAE","Emitronix Variations","emitronix","Exact","Route exact brand query to Brand ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
"Ad group","Search | Brand Protection | UAE","Contractor Comparison","emitronix","Exact","Route exact brand query to Brand ad group","Draft","Review search terms weekly at launch and protect relevant commercial queries."
